Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,Change %
9405.57,9929.7,9230.0,9590.37,1237.89788429,11864460.046187,9584.3608723765,0.02
9610.89,9666.75,9202.17,9449.01,861.13482861,8093245.9837892,9398.3493814237,-0.02
9469.2,9589.0,8996.77,9405.59,1928.07040351,17900975.018055,9284.3990476004,-0.01
9405.57,9929.7,9230.0,9590.37,1237.89788429,11864460.046187,9584.3608723765,0.02
8658.17,9599.1,8275.0,9469.19,2583.36668914,23357155.879251,9041.3629537922,0.09
9469.2,9589.0,8996.77,9405.59,1928.07040351,17900975.018055,9284.3990476004,-0.01
8421.05,8913.61,8090.0,8648.16,2880.2883126,24536006.879436,8518.5940491101,0.03
8658.17,9599.1,8275.0,9469.19,2583.36668914,23357155.879251,9041.3629537922,0.09
9658.34,9817.69,8355.0,8399.53,3367.47470564,30177232.199041,8961.3834807724,-0.13
8421.05,8913.61,8090.0,8648.16,2880.2883126,24536006.879436,8518.5940491101,0.03
9062.76,9854.87,8764.0,9635.14,2343.66821002,21676941.528112,9249.1511534935,0.06
9658.34,9817.69,8355.0,8399.53,3367.47470564,30177232.199041,8961.3834807724,-0.13
10119.2,10180.0,8969.99,9044.46,1731.00496854,16362150.469187,9452.3994827051,-0.11
9062.76,9854.87,8764.0,9635.14,2343.66821002,21676941.528112,9249.1511534935,0.06
10492.57,10519.97,9623.0,10121.29,1342.55899049,13423409.538545,9998.375962345,-0.04
10119.2,10180.0,8969.99,9044.46,1731.00496854,16362150.469187,9452.3994827051,-0.11
10090.01,10595.0,9824.22,10492.41,1247.45867958,12867618.104504,10315.065593064,0.04
10492.57,10519.97,9623.0,10121.29,1342.55899049,13423409.538545,9998.375962345,-0.04
10764.17,10764.18,9710.67,10089.99,3202.5415789,32678036.511731,10203.782123246,-0.06
10090.01,10595.0,9824.22,10492.41,1247.45867958,12867618.104504,10315.065593064,0.04
11232.41,11747.49,10226.41,10779.98,4650.205775,51588286.207007,11093.764169395,-0.04
10764.17,10764.18,9710.67,10089.99,3202.5415789,32678036.511731,10203.782123246,-0.06
10985.4,11465.56,10830.0,11227.67,2934.04830356,32707790.521338,11147.666001835,0.02
11232.41,11747.49,10226.41,10779.98,4650.205775,51588286.207007,11093.764169395,-0.04
10226.36,11061.38,10100.5,10974.07,2103.13487306,22404743.40836,10653.022635568,0.07
10985.4,11465.56,10830.0,11227.67,2934.04830356,32707790.521338,11147.666001835,0.02
10010.0,10365.0,9867.61,10206.65,1082.22336185,10957211.227333,10124.72250516,0.02
10226.36,11061.38,10100.5,10974.07,2103.13487306,22404743.40836,10653.022635568,0.07
9816.28,10444.46,9785.23,10024.36,1160.0544637,11797757.340827,10170.002969686,0.02
10010.0,10365.0,9867.61,10206.65,1082.22336185,10957211.227333,10124.72250516,0.02
9890.52,10233.53,9561.01,9798.88,2104.77121257,20793222.62468,9879.0892333096,-0.01
9816.28,10444.46,9785.23,10024.36,1160.0544637,11797757.340827,10170.002969686,0.02
10622.99,10679.21,9794.36,9896.55,2222.72578508,23029415.538367,10360.889180731,-0.07
9890.52,10233.53,9561.01,9798.88,2104.77121257,20793222.62468,9879.0892333096,-0.01
9599.59,10651.48,9590.69,10604.46,3401.97478104,34223030.773481,10059.75440036,0.09
10622.99,10679.21,9794.36,9896.55,2222.72578508,23029415.538367,10360.889180731,-0.07
9350.04,9685.95,8504.18,9585.84,3793.33890993,34404703.939622,9069.7680214016,0.02
9599.59,10651.48,9590.69,10604.46,3401.97478104,34223030.773481,10059.75440036,0.09
9461.83,9843.94,8806.17,9308.08,2974.52768574,27528340.058411,9254.6928342214,-0.02
9350.04,9685.95,8504.18,9585.84,3793.33890993,34404703.939622,9069.7680214016,0.02
10449.24,10698.0,9320.0,9462.07,1702.94331625,16877628.641688,9910.8575609277,-0.09
9461.83,9843.94,8806.17,9308.08,2974.52768574,27528340.058411,9254.6928342214,-0.02
10863.49,10864.1,9950.07,10432.8,1781.68027933,18554677.408029,10414.145356656,-0.04
10449.24,10698.0,9320.0,9462.07,1702.94331625,16877628.641688,9910.8575609277,-0.09
9789.99,10920.0,9432.09,10870.27,3231.00400518,33244245.063868,10289.137683076,0.1
10863.49,10864.1,9950.07,10432.8,1781.68027933,18554677.408029,10414.145356656,-0.04
11342.31,11715.61,9001.01,9790.0,7147.00743914,72213247.303898,10103.983788855,-0.14
9789.99,10920.0,9432.09,10870.27,3231.00400518,33244245.063868,10289.137683076,0.1
10328.84,12195.0,9850.0,11376.18,7879.8176372,87605206.278248,11117.669254764,0.09
11342.31,11715.61,9001.01,9790.0,7147.00743914,72213247.303898,10103.983788855,-0.14
9692.73,10370.0,9651.66,10357.18,3600.05417076,35869044.885033,9963.4736544701,0.06
10328.84,12195.0,9850.0,11376.18,7879.8176372,87605206.278248,11117.669254764,0.09
9531.43,9749.1,9254.12,9675.27,1953.36623377,18661103.637333,9553.305117452,0.01
9692.73,10370.0,9651.66,10357.18,3600.05417076,35869044.885033,9963.4736544701,0.06
9397.65,9897.0,9209.04,9525.19,1869.84200916,17834501.625455,9537.9724800742,0.01
9531.43,9749.1,9254.12,9675.27,1953.36623377,18661103.637333,9553.305117452,0.01
8999.99,9870.0,8867.43,9378.39,3715.41355188,35047166.800003,9432.9113867469,0.04
9397.65,9897.0,9209.04,9525.19,1869.84200916,17834501.625455,9537.9724800742,0.01
8452.11,9000.0,8434.26,8999.99,1873.87207171,16266941.304652,8680.9241411062,0.06
8999.99,9870.0,8867.43,9378.39,3715.41355188,35047166.800003,9432.9113867469,0.04
8267.65,8518.61,8160.0,8433.95,1676.98019604,13963693.16675,8326.6893668294,0.02
8452.11,9000.0,8434.26,8999.99,1873.87207171,16266941.304652,8680.9241411062,0.06
8121.01,8295.0,8067.35,8269.89,927.34091381,7572019.4828423,8165.3029323731,0.02
8267.65,8518.61,8160.0,8433.95,1676.98019604,13963693.16675,8326.6893668294,0.02
8324.09,8338.17,7980.01,8105.2,1624.33206014,13228176.10623,8143.7634772102,-0.03
8121.01,8295.0,8067.35,8269.89,927.34091381,7572019.4828423,8165.3029323731,0.02
8008.32,8447.0,8008.32,8323.92,1792.95390619,14796240.286695,8252.4376313367,0.04
8324.09,8338.17,7980.01,8105.2,1624.33206014,13228176.10623,8143.7634772102,-0.03
7885.29,8379.98,7831.69,8004.47,2404.81805672,19526598.86029,8119.7822037826,0.01
8008.32,8447.0,8008.32,8323.92,1792.95390619,14796240.286695,8252.4376313367,0.04
7772.6,7937.19,7692.79,7891.43,747.93543457,5839321.4036301,7807.2533185798,0.02
7885.29,8379.98,7831.69,8004.47,2404.81805672,19526598.86029,8119.7822037826,0.01
7300.72,7797.99,7265.9,7773.09,1197.17992728,8955914.536559,7480.842547124,0.06
7772.6,7937.19,7692.79,7891.43,747.93543457,5839321.4036301,7807.2533185798,0.02
7232.71,7400.0,7129.42,7301.41,1128.2924782,8188305.2749146,7257.2541545058,0.01
7300.72,7797.99,7265.9,7773.09,1197.17992728,8955914.536559,7480.842547124,0.06
6992.7,7321.0,6905.0,7234.82,1434.34258928,10233931.208659,7134.9280744684,0.03
7232.71,7400.0,7129.42,7301.41,1128.2924782,8188305.2749146,7257.2541545058,0.01
7091.33,7120.0,6816.8,6992.7,1041.35143575,7243084.6823134,6955.4661698784,-0.01
6992.7,7321.0,6905.0,7234.82,1434.34258928,10233931.208659,7134.9280744684,0.03
6761.13,7150.0,6668.0,7091.33,1122.99478262,7790810.6687149,6937.5306005773,0.05
7091.33,7120.0,6816.8,6992.7,1041.35143575,7243084.6823134,6955.4661698784,-0.01
7008.16,7037.79,6670.78,6756.07,537.77208724,3675302.4188445,6834.3123528543,-0.04
6761.13,7150.0,6668.0,7091.33,1122.99478262,7790810.6687149,6937.5306005773,0.05
7071.17,7117.88,6876.0,7022.8,349.91940014,2451036.7746849,7004.5752642015,-0.01
7008.16,7037.79,6670.78,6756.07,537.77208724,3675302.4188445,6834.3123528543,-0.04
6927.55,7182.57,6880.6,7070.02,1257.19293735,8881925.6840359,7064.8867171955,0.02
7071.17,7117.88,6876.0,7022.8,349.91940014,2451036.7746849,7004.5752642015,-0.01
6930.9,7012.68,6610.0,6914.42,1007.87309281,6904556.8671782,6850.6212899562,-0.0
6927.55,7182.57,6880.6,7070.02,1257.19293735,8881925.6840359,7064.8867171955,0.02
6810.25,7059.96,6744.19,6935.98,1223.81250825,8463714.2331707,6915.8585781032,0.02
6930.9,7012.68,6610.0,6914.42,1007.87309281,6904556.8671782,6850.6212899562,-0.0
7226.45,7226.45,6611.19,6819.0,2867.65472596,19926158.407251,6948.5905073808,-0.06
6810.25,7059.96,6744.19,6935.98,1223.81250825,8463714.2331707,6915.8585781032,0.02
7825.0,7830.21,7150.0,7221.15,1799.55047249,13560312.072135,7535.3885758878,-0.08
7226.45,7226.45,6611.19,6819.0,2867.65472596,19926158.407251,6948.5905073808,-0.06
7661.84,7900.13,7640.31,7825.0,826.0843013,6436605.5883743,7791.7054933074,0.02
7825.0,7830.21,7150.0,7221.15,1799.55047249,13560312.072135,7535.3885758878,-0.08
7669.93,7730.25,7574.27,7666.55,437.26242456,3348222.0090578,7657.2369840078,-0.0
7661.84,7900.13,7640.31,7825.0,826.0843013,6436605.5883743,7791.7054933074,0.02
7457.81,7700.0,7300.0,7685.73,1641.78799478,12325739.526742,7507.5098404492,0.03
7669.93,7730.25,7574.27,7666.55,437.26242456,3348222.0090578,7657.2369840078,-0.0
7776.84,8168.97,7200.0,7450.0,2864.87470669,22079914.895186,7707.1136282593,-0.04
7457.81,7700.0,7300.0,7685.73,1641.78799478,12325739.526742,7507.5098404492,0.03
7815.06,7874.53,7550.0,7776.28,1435.18766024,11108072.850628,7739.8051546586,-0.0
7776.84,8168.97,7200.0,7450.0,2864.87470669,22079914.895186,7707.1136282593,-0.04
7845.9,7887.17,7630.65,7799.66,1421.24794316,11075882.234912,7793.0682596353,-0.01
7815.06,7874.53,7550.0,7776.28,1435.18766024,11108072.850628,7739.8051546586,-0.0
7788.75,7974.0,7706.63,7842.98,2372.6859581,18622322.356616,7848.6250121057,0.01
7845.9,7887.17,7630.65,7799.66,1421.24794316,11075882.234912,7793.0682596353,-0.01
7204.4,7830.9,7050.3,7794.44,1837.28404212,13817336.528735,7520.5227999433,0.08
7788.75,7974.0,7706.63,7842.98,2372.6859581,18622322.356616,7848.6250121057,0.01
7155.73,7282.56,7099.0,7219.0,370.47918999,2666140.1966962,7196.4641165627,0.01
7204.4,7830.9,7050.3,7794.44,1837.28404212,13817336.528735,7520.5227999433,0.08
7057.71,7302.0,6983.42,7159.88,1348.41865068,9672434.8579625,7173.1689954635,0.01
7155.73,7282.56,7099.0,7219.0,370.47918999,2666140.1966962,7196.4641165627,0.01
6846.56,7133.96,6711.11,7045.2,1612.58772265,11130186.292523,6902.0656279291,0.03
7057.71,7302.0,6983.42,7159.88,1348.41865068,9672434.8579625,7173.1689954635,0.01
7135.62,7209.0,6671.9,6855.24,1586.56768502,11130516.535604,7015.4690787515,-0.04
6846.56,7133.96,6711.11,7045.2,1612.58772265,11130186.292523,6902.0656279291,0.03
7165.29,7271.62,7007.77,7135.7,1691.6363157,12079964.18169,7140.9936459605,-0.0
7135.62,7209.0,6671.9,6855.24,1586.56768502,11130516.535604,7015.4690787515,-0.04
7349.54,7349.54,6800.0,7177.33,1970.19235569,13921947.368904,7066.288389911,-0.02
7165.29,7271.62,7007.77,7135.7,1691.6363157,12079964.18169,7140.9936459605,-0.0
6521.48,7436.28,6521.47,7349.76,1859.38962196,13278610.781065,7141.3815718021,0.11
7349.54,7349.54,6800.0,7177.33,1970.19235569,13921947.368904,7066.288389911,-0.02
6600.0,6728.49,6481.17,6551.95,1000.85711712,6617715.9720034,6612.0486718885,-0.01
6521.48,7436.28,6521.47,7349.76,1859.38962196,13278610.781065,7141.3815718021,0.11
7058.73,7102.77,6000.0,6600.0,4113.40809257,26531268.553905,6449.9480617612,-0.06
6600.0,6728.49,6481.17,6551.95,1000.85711712,6617715.9720034,6612.0486718885,-0.01
7325.59,7490.0,6847.68,7059.81,3081.42857494,21921559.703984,7114.0898355598,-0.04
7058.73,7102.77,6000.0,6600.0,4113.40809257,26531268.553905,6449.9480617612,-0.06
7127.44,7400.0,6991.0,7326.34,2961.72740877,21284303.642878,7186.4492254934,0.03
7325.59,7490.0,6847.68,7059.81,3081.42857494,21921559.703984,7114.0898355598,-0.04
6972.36,7438.7,6755.61,7137.92,4827.00393926,34363858.260915,7119.0864340133,0.02
7127.44,7400.0,6991.0,7326.34,2961.72740877,21284303.642878,7186.4492254934,0.03
6197.25,7284.82,6114.24,6967.95,5381.09793166,36637250.746031,6808.5084514953,0.11
6972.36,7438.7,6755.61,7137.92,4827.00393926,34363858.260915,7119.0864340133,0.02
