Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-09-09,6182.5,6414.5,6161.33,6241.3,132.27295255,836188.94213795,6321.6925759774
2018-09-10,6231.5,6337.9,6231.5,6299.67,66.60586083,418981.58435514,6290.4612166866
2018-09-11,6305.71,6380.88,6201.56,6278.48,98.96462626,624192.50454211,6307.2284323312
2018-09-12,6278.48,6334.0,6205.1,6334.0,44.52017679,279190.91134851,6271.1096738327
2018-09-13,6323.6,6515.6,6323.6,6505.4,63.38207399,406811.81150029,6418.4048563081
2018-09-14,6486.3,6583.5,6422.52,6486.06,67.45636249,437723.20280295,6488.9831981058
2018-09-15,6477.9,6551.0,6471.53,6513.13,21.07540209,137181.67939119,6509.0895445492
2018-09-16,6482.78,6499.1,6385.8,6492.0,41.0323044,264237.24933817,6439.7370121424
2018-09-17,6499.1,6515.4,6212.3,6253.8,68.28496701,434016.14001643,6355.9544511879
2018-09-18,6251.3,6376.0,6233.3,6340.0,70.31807437,443597.78073481,6308.4460817384
2018-09-19,6330.3,6481.4,6110.0,6350.0,158.85595599,1006429.7301403,6335.4862829547
2018-09-20,6350.04,6401.7,6350.0,6374.7,18.49891605,117940.76481322,6375.5500319287
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-22,6625.0,6739.98,6625.0,6691.72,31.32408786,209427.24636203,6685.8210619907
2018-09-23,6691.72,6750.0,6659.8,6698.13,11.96442068,80043.765333228,6690.1496924988
2018-09-24,6667.1,6671.68,6560.0,6570.01,17.75289216,117429.67522043,6614.6785640377
2018-09-25,6570.01,6570.01,6331.4,6417.8,53.86367105,345512.25662227,6414.5694099005
2018-09-26,6418.0,6531.6,6400.4,6476.3,40.2511904,260946.22781765,6482.9443607622
2018-09-27,6468.4,6711.6,6441.6,6680.0,23.95766777,156426.72629249,6529.2969163036
2018-09-28,6686.2,6750.0,6541.4,6618.1,76.90225435,510598.73907689,6639.5808990597
2018-09-29,6610.8,6612.64,6467.69,6576.6,48.77452737,318312.02472444,6526.193935407
2018-09-30,6564.6,6625.0,6522.6,6600.2,18.98837721,125037.45297644,6584.9467594624
2018-10-01,6599.4,6629.53,6498.7,6558.19,23.7853402,156141.35311844,6564.6045759918
2018-10-02,6557.6,6585.09,6475.9,6503.0,29.46523925,192347.25036797,6527.9378435037
2018-10-03,6497.0,6504.88,6403.62,6475.0,18.00826532,116277.48501034,6456.8953724379
2018-10-04,6475.0,6601.4,6475.0,6546.6,47.30009272,308964.53893963,6532.0070463412
2018-10-05,6542.2,6594.0,6513.7,6594.0,50.60674465,331930.45983589,6559.0162365027
2018-10-06,6579.6,6583.7,6537.9,6549.13,11.46948049,75238.755315125,6559.9096123599
2018-10-07,6563.9,6580.9,6516.7,6546.71,12.68409242,83076.005446481,6549.6215807674
2018-10-08,6566.35,6633.4,6552.1,6607.7,20.57955663,135652.95182159,6591.6362660523
2018-10-09,6605.9,6605.9,6545.6,6598.1,8.88887796,58530.270045279,6584.6634759376
2018-10-10,6594.32,6600.0,6468.3,6535.0,77.74228023,509585.59263693,6554.8063567126
2018-10-11,6519.4,6519.4,6117.9,6169.0,81.06665448,508180.15120432,6268.6705707054
2018-10-12,6169.0,6250.0,6150.0,6217.0,32.33524966,200581.56821423,6203.1860067053
2018-10-13,6211.9,6229.0,6211.9,6218.3,0.38649042,2405.244815625,6223.2973733864
2018-10-14,6223.0,6274.3,6178.6,6178.6,16.90977684,105558.03657692,6242.4263534469
2018-10-15,6198.4,6716.39,6180.5,6460.3,283.0027062,1833978.0554874,6480.425859219
2018-10-16,6450.0,6517.6,6407.23,6468.5,57.51070247,370872.01535435,6448.7477882541
2018-10-17,6473.9,6478.49,6424.0,6466.1,41.09161668,265120.95186696,6451.9474600278
2018-10-18,6460.0,6483.2,6380.6,6424.66,29.58945702,190600.61801105,6441.5044142993
2018-10-19,6424.66,6424.66,6369.2,6393.4,20.14417276,128746.81293004,6391.2683069165
2018-10-20,6385.81,6421.89,6362.7,6413.2,25.00185912,160105.65320162,6403.749914483
2018-10-21,6411.5,6449.6,6391.5,6417.6,24.49158502,157421.44614599,6427.5728180693
2018-10-22,6410.0,6424.63,6371.5,6411.9,22.71651386,145309.46008507,6396.6443522365
2018-10-23,6411.9,6411.9,6374.3,6396.7,51.78318507,330664.86431704,6385.5644234717
2018-10-24,6388.0,6443.5,6267.4,6416.8,81.90853893,521676.88586208,6369.0171095338
2018-10-25,6417.4,6429.59,6375.7,6407.5,21.52916873,137912.43884218,6405.8413295819
2018-10-26,6395.0,6431.4,6370.2,6381.05,36.5835943,233962.87392147,6395.2948964741
2018-10-27,6402.2,6421.0,6372.11,6372.4,17.03978359,108966.29224059,6394.8166750511
2018-10-28,6406.4,6427.62,6377.1,6400.1,10.02924148,64218.542589391,6403.1305575256
2018-10-29,6401.1,6416.02,6039.7,6241.7,144.80666682,901828.32969455,6227.8094613942
2018-10-30,6241.7,6288.7,6241.7,6272.0,21.97090291,137719.07359549,6268.2482444912
2018-10-31,6269.8,6337.8,6189.8,6303.2,51.32463031,322059.62869727,6274.9527225434
2018-11-01,6293.6,6359.9,6269.6,6344.8,24.92161708,157006.71256881,6300.0210646366
2018-11-02,6339.7,6366.2,6312.9,6348.7,12.73754669,80730.660132116,6338.0070037738
2018-11-03,6348.93,6348.93,6317.0,6336.5,6.34337294,40172.894444358,6333.0494398392
2018-11-04,6316.8,6435.2,6316.8,6406.9,21.77894897,139031.40072373,6383.7516179151
2018-11-05,6413.4,6424.38,6378.1,6398.9,32.55028383,208134.81310957,6394.254937886
2018-11-06,6398.9,6438.0,6311.4,6438.0,46.85331034,298375.21146445,6368.2845310018
2018-11-07,6452.7,6525.3,6452.7,6494.8,36.37832133,235914.51943689,6485.0303920521
2018-11-08,6498.9,6498.9,6397.3,6404.9,48.29591615,311263.78292215,6444.9296697346
2018-11-09,6401.3,6407.4,6265.8,6330.6,30.32204837,192281.26952987,6341.3021173104
2018-11-10,6329.1,6369.3,6316.7,6347.1,5.79840983,36767.582749856,6340.9768932901
2018-11-11,6350.1,6356.4,6281.0,6356.2,6.97462067,44034.593403397,6313.5467126985
2018-11-12,6368.33,6373.4,6305.1,6335.7,3.76463203,23890.366597342,6346.0031171604
2018-11-13,6331.4,6331.4,6266.3,6271.5,26.03888633,164025.59021488,6299.2552037797
2018-11-14,6272.3,6298.4,5336.1,5668.01,454.20484756,2588229.0325447,5698.3738646752
2018-11-15,5697.3,5733.3,5261.6,5609.0,137.87185034,766984.01993047,5563.0211536223
2018-11-16,5592.3,5620.7,5443.1,5529.4,71.13767599,394266.09976486,5542.2965999098
2018-11-17,5518.0,5540.4,5460.3,5517.6,22.581048,124370.12372803,5507.7215073466
2018-11-18,5517.6,5598.88,5505.5,5575.2,28.00867258,155191.8925607,5540.8513958463
2018-11-19,5579.0,5579.0,4715.5,4800.4,218.47707786,1102160.3248941,5044.7412410028
2018-11-20,4793.16,4900.1,4098.8,4376.6,488.06501403,2199601.9213798,4506.7805684686
2018-11-21,4376.6,4636.6,4274.1,4557.8,267.82640313,1193614.5101621,4456.6722929954
2018-11-22,4564.95,4587.7,4279.44,4280.3,74.02143268,331410.66306167,4477.2257312876
2018-11-23,4296.95,4353.97,4132.1,4302.16,111.70564311,473875.07367851,4242.176675102
2018-11-24,4315.8,4375.7,3684.3,3785.6,206.32564421,806207.85958713,3907.4534950515
2018-11-25,3786.78,4115.0,3526.9,3977.6,767.09165763,2895006.3236208,3774.0031387711
2018-11-26,3951.3,4089.5,3558.0,3735.9,408.39970622,1533940.4513052,3755.9783416662
2018-11-27,3739.6,3831.0,3633.4,3782.57,248.79436721,925707.99512447,3720.7755364618
2018-11-28,3783.4,4363.0,3783.4,4227.68,385.2723333,1560377.43112,4050.0635427278
2018-11-29,4234.34,4391.1,4101.78,4229.6,213.44882969,901745.69919133,4224.645787475
2018-11-30,4263.2,4299.1,3874.4,3983.8,179.80763534,719096.99006119,3999.2572545734
2018-12-01,3981.7,4264.4,3931.0,4156.0,134.4622536,550866.78736012,4096.8135860555
2018-12-02,4155.1,4265.5,4075.9,4102.8,67.26507267,279049.70270435,4148.5081577679
2018-12-03,4115.11,4115.11,3797.4,3840.1,103.00315363,404809.22176166,3930.0662891913
2018-12-04,3844.1,4038.5,3779.2,3911.31,160.33702581,625926.41178418,3903.8170292987
2018-12-05,3911.1,3915.4,3656.9,3701.4,111.60716409,420558.33141686,3768.2019326082
2018-12-06,3701.4,3836.9,3453.7,3453.7,321.96178546,1172473.3554483,3641.6537874927
2018-12-07,3438.5,3569.97,3223.7,3375.9,423.22062931,1425230.4415477,3367.5826338413
2018-12-08,3380.9,3481.3,3261.2,3396.23,160.84811202,543185.44039014,3377.0084930969
2018-12-09,3404.3,3637.6,3386.6,3546.31,140.86011586,493327.25363286,3502.2493813875
